Project ID,Strategy Score,Risk Score,Risk - # of Vendors Contributing,Risk - Business Problem Clearly Defined,Risk - Business Processes Impacted,Risk - Impact to Key Financial Application,Risk - Level of User Change Management,Risk - Market,"Risk - New Product, Functionality or Service",Risk - Outside US or Marketing Area,Risk - Reputation or Shareholder Value Affected,Risk - Stand-Alone Project will Cost $10M,Type,Primary Support Strategy,Support for Reducing Costs,Support for Increased Productivity,Support for External Customers,Support for Internal Customers,Support for Competitive Differentiation,Mandatory?,Business Priority,Forced Rank,Risk Eval,Risk - Acceptance,Risk - Skills / Capability,Risk - Complexity,Risk - Product / Technology,Risk - Planning
CM-B40420647,60,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
CM-C40203619,56,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
CM-C4090965,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM-E40766285,79,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
CM-E40910804,93,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
CM-E40946158,38,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
CM-E40946159,38,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
CM-F4090967,54,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CM-F40910810,66,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CM-G38810576,53,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
CM-H4090966,36,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
CM-I38810577,53,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
CM-I40851312,55,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
CM-I40869316,55,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
CM-I40909799,54,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
CM-I40911431,28,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
CM-I40911432,75,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
CM-I40911437,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM-I40911438,34,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Very Strong,Moderate,Very Strong,Mandatory,,,,33,Low,Low,Low,Low,Low
CM-K39888241,35,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
CM-L40288633,53,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
CM-P40940452,90,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
CM-R4054420,72,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
CM-R4054625,67,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
CM-R40546672,33,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
CM-R40910125,34,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
CM-R40910126,61,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
CM-S4068442,42,73,High,Med,Med,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,No,,,67,Med,Med,High,Low,Med
CM-S40909734,29,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
CM-S41262495,63,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
CM-W41275863,25,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
CN-C40909758,72,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
CP-A40909100,29,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
CP-A4090999,45,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
CP-B4060336,63,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
CP-B4090996,36,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
CP-C40574260,65,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
CP-C40787718,72,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
CP-C4090985,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP-C40969163,90,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
CP-C41061171,44,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
CP-D4057533,53,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
CP-D4060337,73,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
CP-D41000165,40,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CP-D41183178,41,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
CP-E402385,66,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
CP-E40665276,75,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
CP-E40787717,79,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
CP-E40909101,51,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
CP-E4090979,66,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
CP-F402384,89,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
CP-H40909102,66,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CP-I40787720,74,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
CP-I40909378,76,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
CP-I40909383,37,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
CP-I40910417,32,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
CP-I40910808,39,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
CP-I40940151,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
CP-L402947,53,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
CP-L41000466,37,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
CP-L41030191,77,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
CP-L41122196,81,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
CP-M4090991,33,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
CP-M4090997,71,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
CP-O40787716,74,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
CP-P4075651,64,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
CP-P40909103,90,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
CP-P40940453,53,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
CP-R40910130,45,80,High,Low,Low,High,High,Med,High,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Moderate,Moderate,No,,,50,Med,Low,High,High,Low
CP-S4075648,34,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
